PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC0_VM0;0;29;5;5;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;1;5;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;2;4;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;8;10;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;14;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;2;4;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;2;4;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;18;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;64;3;8;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
